order_id	date	customer_id
1	05/28/2012	31
2	06/18/2020	27
3	08/23/2020	34
4	12/28/2011	16
5	06/19/2016	54
6	10/30/2020	1
7	09/25/2020	2
8	06/20/2019	47
9	04/03/2019	22
10	11/27/2018	58
11	04/21/2012	34
12	10/13/2014	54
13	11/25/2013	45
14	10/02/2020	4
15	06/17/2020	39
16	11/14/2020	53
17	12/10/2018	32
18	11/27/2020	34
19	08/28/2016	19
20	07/25/2019	48
21	08/04/2017	47
22	07/01/2015	32
23	02/02/2011	24
24	08/28/2014	37
25	06/21/2018	55
26	10/13/2010	60
27	06/14/2013	13
28	02/06/2019	46
29	05/05/2017	7
30	07/30/2011	32
31	12/25/2016	58
32	09/25/2018	52
33	05/01/2010	33
34	07/20/2020	12
35	05/12/2020	30
36	02/23/2018	58
37	08/07/2017	31
38	02/03/2020	10
39	06/09/2013	60
40	10/04/2011	16
41	01/04/2013	39
42	06/15/2020	21
43	08/11/2015	55
44	07/28/2015	4
45	11/04/2019	10
46	11/12/2010	57
47	10/05/2012	45
48	01/09/2014	24
49	10/23/2019	17
50	04/21/2014	3
51	03/20/2011	33
52	02/01/2015	43
53	12/30/2013	21
54	03/30/2014	49
55	06/26/2019	13
56	01/07/2020	43
57	01/31/2019	29
58	06/13/2014	12
59	05/29/2010	14
60	07/15/2014	26
61	08/15/2010	58
62	04/07/2017	35
63	03/14/2018	9
64	12/23/2013	42
65	05/04/2016	10
66	09/29/2018	39
67	10/10/2012	7
68	05/20/2018	42
69	12/05/2020	41
70	04/23/2011	17
71	05/10/2020	25
72	04/02/2020	35
73	08/06/2011	25
74	06/29/2010	54
75	10/05/2015	12
76	01/29/2017	25
77	08/18/2020	51
78	06/18/2010	29
79	12/10/2011	11
80	02/23/2012	26
81	11/24/2015	18
82	06/23/2018	55
83	03/24/2015	50
84	09/29/2011	50
85	12/18/2014	32
86	06/21/2015	32
87	01/19/2016	42
88	01/19/2013	18
89	08/29/2014	31
90	08/06/2014	15
91	06/18/2012	19
92	08/06/2017	13
93	03/25/2018	58
94	07/10/2010	59
95	05/22/2010	51
96	04/28/2019	56
97	04/22/2019	15
98	10/16/2015	41
99	01/29/2016	6
100	11/19/2014	47
101	11/28/2015	48
102	01/04/2016	54
103	07/03/2013	5
104	10/12/2014	11
105	09/11/2017	33
106	12/10/2015	51
107	07/17/2020	11
108	06/18/2013	28
109	01/16/2011	37
110	06/01/2013	1
111	05/31/2018	36
112	08/09/2020	5
113	02/12/2017	34
114	11/13/2016	50
115	08/31/2010	32
116	03/08/2015	30
117	09/19/2018	51
118	12/04/2012	21
119	09/16/2014	31
120	08/07/2012	57
121	08/14/2013	46
122	02/06/2011	45
123	02/16/2017	11
124	04/02/2011	43
125	02/03/2011	56
126	10/08/2018	22
127	11/18/2016	17
128	12/12/2011	35
129	11/23/2019	54
130	10/08/2019	11
131	11/02/2020	56
132	04/08/2016	8
133	06/22/2016	52
134	06/22/2018	31
135	05/19/2013	32
136	05/17/2020	10
137	05/09/2013	11
138	02/01/2012	11
139	12/20/2011	3
140	06/02/2017	58
141	11/02/2015	2
142	01/11/2016	6
143	11/10/2018	25
144	10/17/2019	30
145	08/11/2020	52
146	03/23/2016	36
147	02/10/2019	50
148	11/05/2017	50
149	06/16/2016	13
150	10/15/2018	1
151	04/09/2016	14
152	04/10/2016	10
153	11/21/2012	52
154	04/25/2011	38
155	11/07/2017	42
156	08/03/2015	52
157	03/11/2015	14
158	11/07/2011	48
159	06/21/2010	21
160	03/16/2016	30
161	02/18/2020	57
162	11/09/2018	57
163	11/14/2011	45
164	04/09/2017	31
165	03/02/2013	13
166	09/24/2018	54
167	02/01/2011	8
168	06/17/2018	1
169	11/03/2013	21
170	03/03/2019	48
171	10/09/2015	33
172	07/06/2015	19
173	04/30/2011	57
174	11/14/2013	29
175	03/28/2018	35
176	03/21/2020	52
177	10/18/2011	53
178	11/07/2015	57
179	06/19/2019	56
180	06/21/2019	2
181	12/19/2018	33
182	05/13/2014	60
183	07/31/2015	31
184	07/29/2017	51
185	11/30/2019	17
186	08/26/2019	5
187	02/02/2017	21
188	10/14/2011	17
189	09/05/2015	34
190	02/17/2017	19
191	09/23/2016	29
192	01/12/2010	2
193	01/10/2015	58
194	09/21/2016	50
195	08/26/2019	12
196	11/19/2017	1
197	03/20/2020	25
198	10/17/2012	8
199	07/13/2015	17
200	12/16/2011	52
201	06/09/2020	19
202	03/25/2012	60
203	12/12/2017	24
204	01/30/2015	29
205	02/21/2013	51
206	09/14/2018	25
207	03/26/2014	46
208	04/11/2020	24
209	02/28/2015	40
210	08/19/2016	29
211	07/08/2020	45
212	12/14/2014	59
213	01/02/2017	38
214	08/11/2015	39
215	05/18/2020	20
216	03/18/2012	47
217	01/03/2012	51
218	03/18/2014	58
219	08/08/2016	48
220	07/20/2016	48
221	04/08/2013	35
222	11/24/2014	12
223	10/21/2018	25
224	08/17/2014	58
225	03/03/2012	46
226	05/02/2018	31
227	10/05/2010	59
228	04/14/2020	16
229	11/08/2020	6
230	01/06/2014	14
231	10/20/2011	54
232	06/15/2013	11
233	02/10/2016	29
234	06/22/2010	20
235	11/04/2019	56
236	02/08/2017	40
237	09/17/2011	5
238	04/21/2019	16
239	07/24/2020	20
240	11/18/2017	28
241	07/02/2010	45
242	11/21/2016	14
243	05/25/2015	16
244	03/13/2010	29
245	08/24/2014	27
246	05/23/2013	22
247	07/18/2020	37
248	05/28/2020	5
249	11/23/2013	34
250	11/14/2019	45
251	12/16/2012	34
252	05/21/2020	15
253	02/21/2014	28
254	07/18/2010	29
255	04/21/2019	52
256	01/14/2012	27
257	04/28/2019	30
258	03/22/2011	28
259	11/27/2016	27
260	04/12/2015	29
261	07/31/2018	44
262	05/08/2014	20
263	02/04/2018	24
264	11/20/2016	34
265	11/17/2011	54
266	04/04/2013	1
267	02/17/2011	42
268	06/15/2020	13
269	07/27/2015	26
270	09/09/2016	59
271	09/20/2015	34
272	07/14/2019	30
273	10/25/2017	18
274	03/20/2019	34
275	07/06/2016	24
276	11/24/2011	7
277	09/01/2014	31
278	02/18/2019	56
279	06/29/2013	30
280	11/22/2014	38
